URI,prefLabel,Definition,Source,
http://resource.geosciml.org/classifier/cgi/foliationtype/eutaxitic_foliation,Eutaxitic foliation,"Foliation defined by flattened pumice clasts or glass shards, aligned elongate lithic fragments, variations in composition, vesicularity, crystallinity, grain size, spherulite and lithophysae abundance, or the degree of devitrification in a welded tuff. This term denotes interpretation that foliation formed during compaction and welding of tuff.","Neuendorf et al. 2005, this vocabulary",
http://resource.geosciml.org/classifier/cgi/foliationtype/fissile_lamination,Fissile lamination,"Diffuse to distinct lamination in mudstones and mud, defined by the alignment of clay minerals. Lacks distinct very-fine scale layering and repetition of couplets that characterize varves. Essentially a continuous cleavage parallel to bedding, but considered a sedimentary structure related to sediment compaction during diagenesis.","SLTTs 2004, this vocabulary",
http://resource.geosciml.org/classifier/cgi/foliationtype/flaser_structure,Flaser structure,Tectonic foliation defined by lenses and layers of original or relatively unaltered granular minerals surrounded by a matrix of highly sheared and crushed material. No connotation of metamorphic grade.,Neuendorf et al. 2005,
http://resource.geosciml.org/classifier/cgi/foliationtype/flow_layering,Flow layering,"Layering produced by flow of magma, lava, or diapiric flow of sedimentary rock. Distinction from eutaxitic foliation may be difficult.",this vocabulary,
http://resource.geosciml.org/classifier/cgi/foliationtype/foliation,Foliation,Fabric defined by the planar arrangement of textural or structural features (fabric elements).,Jackson 1997,
http://resource.geosciml.org/classifier/cgi/foliationtype/generic_mylonitic_foliation,Generic mylonitic foliation,"Foliation defined by the shapes of deformed mineral grains or grain aggregates having aspect ratios greater than 1.5:1, greater than 10 percent of the rock is composed of 'matrix' showing evidence of tectonic reduction in grain size, and the foliation and matrix are interpreted to be the product of continuous, crystal-plastic deformation processes. Generic class is used when data are insufficient to determine classification to protomylontic, mylonite, or ultramylonitc foliation, or to specify that any sort of mylontic foliation may be present.",NADM metamorphic rock vocabulary SLTTm1.0 2004,
http://resource.geosciml.org/classifier/cgi/foliationtype/gneissic_layering,Gneissic layering,"Compositional layering in a metamorphic rock, syn. gneissic banding",this vocabulary,
http://resource.geosciml.org/classifier/cgi/foliationtype/grain_shape_foliation,Grain shape foliation,"Foliation defined by the alignment of oblate particles, which may be detrital grains, crystals, or crystalline grain aggregates.",this vocabulary,
http://resource.geosciml.org/classifier/cgi/foliationtype/igneous_flow_foliation,Igneous flow foliation,"Foliation interpreted to be due to flow in a body of magma or lava. Includes flow banding in lava, and foliation defined by aligned crystals in a phaneritic igneous rock..",this vocabulary,
http://resource.geosciml.org/classifier/cgi/foliationtype/igneous_lamination,Igneous lamination,"Foliation defined by surfaces of textural or mineralogical variation formed by igneous processes. If the lamination surfaces are regularly spaced, they may be used to define layers.",this vocabulary,
http://resource.geosciml.org/classifier/cgi/foliationtype/igneous_layering,Igneous layering,Layering that is the product of processes operating in magma or lava. syn. magmatic layering,"Geoscience Victoria, Australia",
http://resource.geosciml.org/classifier/cgi/foliationtype/igneous_textural_layering,Igneous textural layering,"Layering defined by grain size/ grain shape variations resulting from crystallization processes in igneous rock, most commonly observed in pegmatite/aplite dikes or bodies, and in Laramide leucogranites of Wilderness suite in Arizona.",this vocabulary,
http://resource.geosciml.org/classifier/cgi/foliationtype/imbricated_clast_fabric,Imbricated clast fabric,"Fabric defined by long axis of tabular clasts stacked like shingles to define a surface that makes a small angle with the bedding surface. A depositional fabric formed by disk-shaped or elongate pebbles all tilted in the same direction, flat sides commonly dip upstream",based on Neuendorf et al 2005,
http://resource.geosciml.org/classifier/cgi/foliationtype/impersistent_lamination,Impersistent lamination,Lamination defined by discontinuous surfaces,this vocabulary,
http://resource.geosciml.org/classifier/cgi/foliationtype/irregular_lamination,Irregular lamination,"Lamination fabric in which individual lamina or groups of lamina are warped in an irregular fashion, like a flattened peice of crumpled paper. A crude planar orientation is discernible.",this vocabulary,
http://resource.geosciml.org/classifier/cgi/foliationtype/joint_fabric,Joint fabric,"Fabric defined by parting surfaces in rock that occur in crudely parallel orientation, spaced greater than 5 cm on average if in a very regular joint set. Spacing is more variable and alignment of surfaces is cruder that cleavage. Typically applies to geologic unit description.",Borradaile et al 1982,
http://resource.geosciml.org/classifier/cgi/foliationtype/laminated_metamorphic_layering,Laminated metamorphic layering,"Metamorphic layering in which the layers are less than 1 cm thick. See Weiss, L.E. [1972] plate 36 or Borraidaile et al [1982] plate 137A","B (page 331), plate140A (page 337) for examples.","Weiss 1972, Borradaile et al 1982, this vocabulary"
http://resource.geosciml.org/classifier/cgi/foliationtype/lava_flow_banding,Lava flow banding,"Layering formed by laminar lava flow, defined by variations in composition, vesicularity, crystallinity, grainsize, spherulite and lithophysae abundance, degree of devitrification, colour, and/or parting surfaces, syn. flow lamination, flow banding","GGIPAC, Australia",
http://resource.geosciml.org/classifier/cgi/foliationtype/layered_mylonitic_foliation,Layered mylonitic foliation,Compound foliation in which mylonitic foliation is present in rock that has continuous compositional layering. Continuous means individual layers can be traced more than 1 m.,this vocabulary,
http://resource.geosciml.org/classifier/cgi/foliationtype/layering,Layering,"Foliation defined by stacked, differentiable, sheet-like masses of material (layers), with no denotation of the nature (composition, grain size, grain shape...) or origin (igneous, sedimentary, metamorphic) of the layers.",this vocabulary,
http://resource.geosciml.org/classifier/cgi/foliationtype/low_temperature_flow_foliation,Low-temperature flow foliation,"Foliation interpreted to be due to flow in a body of rock (typically mudrock, salt, or anhydrite) under low-temperature (non-metamorphic) conditions, typically related to diapirism.",this vocabulary,
http://resource.geosciml.org/classifier/cgi/foliationtype/metamorphic_differentiation_layering,Metamorphic differentiation layering,Layering defined by mineralogical variations in a rock body interpreted to be result of solid-state reactions in rock body (metamorphic segregation).,this vocabulary,
http://resource.geosciml.org/classifier/cgi/foliationtype/metamorphic_layering,Metamorphic layering,"Layering of unspecified origin in a metamorphic rock. Compositional or textural variations may be inherited from protolith, or result from metamorphic processes.",this vocabulary,
http://resource.geosciml.org/classifier/cgi/foliationtype/metamorphic_layering_inherited_from_protolith,Metamorphic layering inherited from protolith,"Metamorphic layering in which layer differntiation is relict of compositional variations in the protolith, typically heterogeneous sedimentary or volcanic rock.",this vocabulary,
http://resource.geosciml.org/classifier/cgi/foliationtype/mineralogical_layering,Mineralogical layering,Generic layering defined by variations in mineralogy between individual sheets of material,this vocabulary,
http://resource.geosciml.org/classifier/cgi/foliationtype/mylonite_foliation,Mylonite foliation,"Generic mylonitic foliation in which 50-90 percent of rock is matrix due to tectonic grain size reduction processes. Planar fabric is very apparent due to flattening of mineral grains, development of shear surfaces, and alignment of tabular mineral grains. Lineation is typically present and easily observed.","SLTTm 2004, Sibson 1977",
http://resource.geosciml.org/classifier/cgi/foliationtype/parallel_bedding,Parallel bedding,Bedding defined by parallel surfaces. Bedding structure may be lamination or layering.,SLTTs 2004,
http://resource.geosciml.org/classifier/cgi/foliationtype/parallel_bedding_lamination,Parallel bedding lamination,Bedding lamination structure in which all visible bedding surfaces are parallel.,this vocabulary,
http://resource.geosciml.org/classifier/cgi/foliationtype/phyllitic_cleavage,Phyllitic cleavage,"Continuous cleavage in phyllitic rock, phyllosilicate mineral grains just barely visible, grain size midway between slaty cleavage and schist, typically has a satiny lustre.","SLTTm 2004, Geoscience Victoria, Australia",
http://resource.geosciml.org/classifier/cgi/foliationtype/planar_lamination,Planar lamination,Lamination that is defined by planar bedding surfaces at the scale of description.,this vocabulary,
http://resource.geosciml.org/classifier/cgi/foliationtype/primary_foliation,Primary foliation,Foliation formed during original process of deposition or crystallization of an igneous or sedimentary material.,this vocabulary,
http://resource.geosciml.org/classifier/cgi/foliationtype/primary_igneous_foliation,Primary igneous foliation,"Foliation interpreted to be the product of igneous processes, formed in the rock while melt was still present..",this vocabulary,
http://resource.geosciml.org/classifier/cgi/foliationtype/protomylonite_foliation,Protomylonite foliation,Generic mylonitic foliation in which 10-50 percent of rock is matrix due to tectonic grain size reduction processes. Planar aspect of fabric may be quite subtle in weakly deformed rocks.,"SLTTm 2004, Sibson 1977",
http://resource.geosciml.org/classifier/cgi/foliationtype/rhythmic_layering,Rhythmic layering,"Layering in igneous rock defined by repeated gravity-stratified layers of typically mafic minerals at the base and plagioclase at the top, formed by crystal settling",Jackson 1997,
http://resource.geosciml.org/classifier/cgi/foliationtype/rough_cleavage,Rough cleavage,"Disjunct (Borradaile et al, 1990) cleavage characterized by short, discontinuous clavage surfaces, typically with concentrations of phyllosilicate minerals. Common in micaceous sandstone.","Neuendorf et al. 2005, Borradaile et al, 1990",
http://resource.geosciml.org/classifier/cgi/foliationtype/s_fabric,S fabric,"Foliation in mylonite defined by alignment of tabular crystals or deformed mineral grains, often with sigmoid shape, typically curving into an associated ductile shear banding foliation (C fabric) with a consistent sense.","Geoscience Victoria, Australia",
http://resource.geosciml.org/classifier/cgi/foliationtype/scaly_cleavage,Scaly cleavage,"Discrete, anastomosing spaced cleavage characterized by smooth and highly polished/slickensided cleavage surfaces that intersect with one another to form lensoid flakes, scales or chips. Common in pelitic rocks in shear zones, melange, or deformed accretionary complexes.",Based on Jackson 1997,
http://resource.geosciml.org/classifier/cgi/foliationtype/schistosity,Schistosity,"A fabric defined the parallel, planar arrangement of mineral grains having a platy, lamellar, or tabular crystallographic habit that are oriented in a continuous planar or rarely a linear fabric. Schistosity is commonly, but not necessarily, a crystalloblastic foliation. Platy mineral grains typically 1 to 10 mm across (Jackson, 1997), at smaller grain size grades into phyllitic cleavage. Schistosity is typically associated with a continuous cleavage due to the tendency to part parallel to the aligned mineral grains.",NADM metamorphic rock vocabulary SLTTm1.0 2004,
http://resource.geosciml.org/classifier/cgi/foliationtype/sedimentary_layering,Sedimentary layering,"Layering resulting from primary sedimentary processes, in which the individual layers (beds) are bounded by discontinuities related to events in the depositional history.",this vocabulary,
http://resource.geosciml.org/classifier/cgi/foliationtype/slaty_cleavage,Slaty cleavage,"Continuous cleavage defined by aligned fine to very-fine grained phylosilicate mineral grains. The individual grains defining the fabric are too small to be seen by the unaided eye. Grades into phyllitic cleavage as grain size increases. Cleavage domains typically less than 100 micrometres wide, rock easily splits into slabs and thin plates.","Brodie, Kate, Fettes, Douglas, and Harte, Ben, 2007, Structural terms including fault rock terms, in Fettes, D., and Desmons, J., Metamorphic rocks-A classification and Glossary of Terms: Cambridge, UK, Cam-bridge University Press, p. 24-31., Jackson 1997",
http://resource.geosciml.org/classifier/cgi/foliationtype/solution_cleavage,Solution cleavage,"Spaced cleavage forming an array of parallel to anastomosing, stylolitic to smooth, fracture-like partings formed by rock dissolution. Dissolution is indicated by discontinuity and offset of primary features that intersect cleavage surfaces, and typically by accumulation of insoluble residue along cleavage surface. Syn. stylolitic cleavage, pressure solution cleavage","Geoscience Victoria, Australia",
http://resource.geosciml.org/classifier/cgi/foliationtype/spaced_cleavage,Spaced cleavage,Cleavage in which cleavage domains are spaced at finite intervals as the scale of description. Microlithons of uncleaved rock separate cleavage domains.,Borradaile et al. 1982,
http://resource.geosciml.org/classifier/cgi/foliationtype/stromatic_layering,Stromatic layering,"Tectonic layering in which variations that distinguish the layers are the result of melt segregation during high-grade metamorphism, some layers have magmatic/igneous mineralogy. Plates 143 and 144, Borradaile et al [1982] (page 344-347) Syn. Migmatitic layering, lit-par-lit layering","Weiss 1972, Borradaile et al 1982, Neuendorf et al. 2005",
http://resource.geosciml.org/classifier/cgi/foliationtype/stromatolitic_lamination,Stromatolitic lamination,"Lamination produced by sediment trapping, binding and or precipitation by cyanophytes (blue-green algae)",Based on Neuendorf et al 2005,
http://resource.geosciml.org/classifier/cgi/foliationtype/tectonic_foliation,Tectonic foliation,Foliation in a rock body defined by physical components related to deformation subsequent to solidification of the rock.,this vocabulary,
http://resource.geosciml.org/classifier/cgi/foliationtype/tectonic_layering,Tectonic layering,"Layering defined by mineralogical or textural variations in a rock body that are interpreted to be related to deformation or metamorphism, commonly associated with layers that have sharp boundaries. Also known as gneissic foliation. See plates 142-145 (p. 342-349) in Borradaile et al [1982] and plate 46A to 49A in Weiss [1972].","Weiss 1972, Borradaile et al 1982, this vocabulary",
http://resource.geosciml.org/classifier/cgi/foliationtype/transposed_bedding_layering,Transposed bedding layering,Layering interpreted to have originated as sedimentary bedding that has been transposed as a result of metamorphism and deformation.,this vocabulary,
http://resource.geosciml.org/classifier/cgi/foliationtype/ultramylonite_foliation,Ultramylonite foliation,"Mylonitic foliation in which greater than 90 percent of rock is matrix due to tectonic grain size reduction processes. Typically rock is very-fine grained to aphanitic, with sparse porphyroclasts, and vague to prominent lamination on a mm scale.","SLTTm 2004, Sibson 1977",
http://resource.geosciml.org/classifier/cgi/foliationtype/undulating_lamination,Undulating lamination,Gently curviplanar or wavy bedding lamination structure,this vocabulary,
http://resource.geosciml.org/classifier/cgi/foliationtype/vague_metamorphic_layering,Vague metamorphic layering,"Metamorphic layering of uncertain origin, defined by subtle mineralogical or textural variations, with gradational layer boundaries. See plate 142 in Borradaile et al [1982].","Weiss 1972,Borradaile et al 1982, this vocabulary",
http://resource.geosciml.org/classifier/cgi/foliationtype/varve_lamination,Varve lamination,"Bedding defined by distinct, parallel laminae (layers less than 1 cm thick), typically occurring in sequences of distinct couplets (e.g. dark and light color). Generally interpreted as deposited from suspension in still water, with each lamina thought to be an annual sedimentation unit. Typically consists of mud-size sediment.","SLTTs 2004, Jackson 1997",
http://resource.geosciml.org/classifierscheme/cgi/201202/foliationtype,FoliationType,This file contains the CGI Foliation type vocabulary. Use for soft typing GeoSciML GeologicStructure.Foliation elements.@en .,,
